"date","event","potentially_confounding_news","source","severity","notes"
"2024-06-18","hearing","Senate released new whistleblower allegations about nonconforming parts","https://www.blumenthal.senate.gov/newsroom/press/release/the-senate-permanent-subcommittee-on-investigations-releases-evidence-from-new-boeing-whistleblowers","high","Official release; allegations, not established findings; same-day hearing information bundle."
"2024-06-18","hearing","NASA moved Starliner planned landing to June26","https://www.nasa.gov/blogs/commercialcrew/2024/06/18/nasa-boeing-update-starliner-crew-flight-test-return-from-station-2/","medium","Official NASA update; archive lists 15:33 publication."
"2024-06-19","hearing","Victims families sought prosecution and fine exceeding $24 billion","https://www.pbs.org/video/june-19-2024-pbs-newshour-full-episode-1718769601/","medium","Request, not imposed fine; Juneteenth holiday, potential response June20."
"2024-06-20","hearing","Reuters reported Boeing nearing Spirit AeroSystems acquisition agreement","https://www.streetinsider.com/Reuters/Exclusive-Boeing%2Bnearing%2Bdeal%2Bwith%2Bsupplier%2BSpirit%2BAero%2Bafter%2Bmonths%2Bof%2Btalks%2C%2Bsources%2Bsay/23380710.html","high","Reuters 17:18 EDT after close; proposed transaction."
"2024-06-21","hearing","NASA postponed Starliner return without a replacement date","https://www.nasa.gov/blogs/spacestation/2024/06/21/nasa-boeing-adjust-timeline-for-starliner-return/","high","Evening NASA update; potential June24 response; propulsion-data review and station scheduling."
"2024-06-23","hearing","Prosecutors reportedly recommended criminal charges against Boeing","https://www.voanews.com/amp/us-prosecutors-recommend-justice-department-criminally-charge-boeing-as-deadline-looms/7667194.html","high","Sunday Reuters syndication; recommendation, not final DOJ decision; potential June24 response."
"2024-06-25","hearing","Reported Spirit deal terms around $35 per share in stock","https://finance.yahoo.com/video/boeing-buy-supplier-spirit-stock-040059673.html","high","Reuters video; preliminary terms differ from subsequent signed deal."
"2024-06-26","hearing","FAA directive for 13 Boeing 757-200 aircraft over structural cracking","https://www.marketscreener.com/quote/stock/BOEING-4816/news/US-FAA-adopts-airworthiness-directive-for-13-Boeing-757-200-planes-47221187/","low","Reuters 04:37 EDT; small affected fleet; routine regulatory development."
"2026-08-07","theatrical","Reporting on MAX crack-inspection requirement covering 471 aircraft","https://apnews.com/article/f9d4c01a70c760f82520f09ea91137ac","medium","AP Aug7; rule unveiled Aug6 outside window; no cracks reported in covered MAX models then."
"2026-08-10","theatrical","Boeing announced Wisk Aero, Insitu and SkyGrid sale to Archer for equity and collaboration","https://investors.boeing.com/investors/news/press-release-details/2026/Archer-to-Shape-Physical-AI-Future-of-Aerospace-and-Defense-with-Acquisition-of-Boeings-Wisk-Aero-Insitu-and-SkyGrid-Subsidiaries-Boeing-to-Invest-in-Archer-and-Collaborate/default.aspx","high","Official definitive agreement; outside streaming ±5 window, with follow-up Aug14."
"2026-08-11","theatrical","Boeing reported 53 July deliveries versus 64 in June and 48 a year earlier","https://www.streetinsider.com/General%2BNews/Boeing%2Bjet%2Bdeliveries%2Bdrop%2B17%25%2Bin%2BJuly%C2%A0/26903679.html","high","Reuters 11:01 EDT; scheduled disclosure outside streaming ±5 window."
"2026-08-13","netflix","Boeing named Celso Ferrer president for Latin America and Caribbean","https://www.boeing.com.br/news/2026/boeing-nomeia-novo-presidente-para-a-america-latina-e-o-caribe","low","Official regional leadership announcement; effective September4."
"2026-08-13","theatrical","Boeing named Celso Ferrer president for Latin America and Caribbean","https://www.boeing.com.br/news/2026/boeing-nomeia-novo-presidente-para-a-america-latina-e-o-caribe","low","Official regional leadership announcement; effective September4."
"2026-08-13","netflix","Odysight.ai announced AI-sensing demonstration agreement with Boeing","https://www.globenewswire.com/news-release/2026/08/13/3344603/0/en/odysight-ai-signs-agreement-with-boeing-to-demonstrate-ai-powered-capabilities.html","low","Counterparty release 09:23 ET; demonstration not a large disclosed production order."
"2026-08-13","theatrical","Odysight.ai announced AI-sensing demonstration agreement with Boeing","https://www.globenewswire.com/news-release/2026/08/13/3344603/0/en/odysight-ai-signs-agreement-with-boeing-to-demonstrate-ai-powered-capabilities.html","low","Counterparty release 09:23 ET; demonstration not a large disclosed production order."
"2026-08-14","netflix","Boeing announced seven-year SM-3 interceptor-component output frameworks","https://boeing.mediaroom.com/sm-3frameworkagreement","medium","Official announcement; framework not guaranteed revenue."
"2026-08-14","theatrical","Boeing announced seven-year SM-3 interceptor-component output frameworks","https://boeing.mediaroom.com/sm-3frameworkagreement","medium","Official announcement; framework not guaranteed revenue."
"2026-08-14","netflix","Reuters analyzed strategic implications of Wisk divestment","https://content.next.westlaw.com/Document/I841f273097f211f18862cbb9a4f2a883/View/FullText.html?contextData=%28sc.Default%29&transitionType=Default","medium","Metadata and opening accessible, full text locked; follow-up to Aug10, not new sale date."
"2026-08-14","theatrical","Reuters analyzed strategic implications of Wisk divestment","https://content.next.westlaw.com/Document/I841f273097f211f18862cbb9a4f2a883/View/FullText.html?contextData=%28sc.Default%29&transitionType=Default","medium","Metadata and opening accessible, full text locked; follow-up to Aug10, not new sale date."
"2026-08-14","netflix","Earlier theatrical release of Freefall","https://www.rottentomatoes.com/m/freefall_a_reckoning_for_boeing","high","Related exposure/anticipation of streaming; same film, not independent corporate news."
"2026-08-17","netflix","United Launch Alliance appointed Mark Peller CEO","https://newsroom.ulalaunch.com/releases/mark-peller-named-united-launch-alliance-president-and-chief-executive-officer","low","Official announcement; Boeing joint-venture exposure."
"2026-08-17","theatrical","United Launch Alliance appointed Mark Peller CEO","https://newsroom.ulalaunch.com/releases/mark-peller-named-united-launch-alliance-president-and-chief-executive-officer","low","Official announcement; Boeing joint-venture exposure."
"2026-08-19","theatrical","Netflix streaming release of Freefall","https://www.rottentomatoes.com/m/freefall_a_reckoning_for_boeing","high","Second release within theatrical event windows; same underlying film exposure."
"2026-08-20","netflix","Possible $4.5 billion Qatar KC-46A sale approved","https://primarynewssource.org/sourcedocument/qatar-kc-46a-aerial-refueling-aircraft/","medium","Dated reproduction of State Department release; direct government page unavailable. Ceiling includes other contractors, not a final Boeing order."
"2026-08-20","theatrical","Possible $4.5 billion Qatar KC-46A sale approved","https://primarynewssource.org/sourcedocument/qatar-kc-46a-aerial-refueling-aircraft/","medium","Dated reproduction of State Department release; direct government page unavailable. Ceiling includes other contractors, not a final Boeing order."
"2026-08-21","netflix","Engineers and technical workers rejected contract and authorized possible strike","https://www.streetinsider.com/Reuters/Boeing%2Bengineers%2C%2Btechnical%2Bworkers%2Breject%2Bcontract%2Boffer/26959808.html","high","Reuters 11:17 EDT; strike authorization is not a strike beginning."
"2026-08-21","theatrical","Engineers and technical workers rejected contract and authorized possible strike","https://www.streetinsider.com/Reuters/Boeing%2Bengineers%2C%2Btechnical%2Bworkers%2Breject%2Bcontract%2Boffer/26959808.html","high","Reuters 11:17 EDT; strike authorization is not a strike beginning."
"2026-08-24","netflix","F-15 program contract award with $131.23 billion ceiling","https://www.investing.com/news/stock-market-news/boeing-awarded-contract-with-ceiling-value-of-1312-billion-for-f15-program-4874267","high","Reuters; IDIQ ceiling, not obligated spending or guaranteed revenue; exact first-public time unverified."
"2026-08-26","netflix","Reuters reported contractor recruiting amid SPEEA labor dispute","https://www.investing.com/news/stock-market-news/boeing-posts-contract-jobs-in-labor-disputes-latest-escalation-4878049","high","Evening report; jobs posted Aug25. Do not assign news to Aug26 close without earlier timestamp evidence; response may be Aug27."
